cmr-88milsms-a423-0
J',PRON,nsubj,SEN:0,Number=Sing|Person=1
rentre,VERB,ROOT,SEN:0,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin
mon,DET,det,SEN:0,Number=Sing|Poss=Yes
ninou,NOUN,obj,SEN:0,Gender=Masc|Number=Sing

cmr-88milsms-a424-0
Hey,PROPN,ROOT,SEN:0,
yo,X,fixed,SEN:0,
!,PUNCT,punct,SEN:0,

cmr-88milsms-a424-1
Viens,PRON,dep,SEN:1,Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin
quand,SCONJ,mark,SEN:1,
tu,PRON,cc,SEN:1,Number=Sing|Person=2
veux,VERB,dep,SEN:1,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin
péqufier,VERB,xcomp,SEN:1,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
mon,DET,det,SEN:1,Number=Sing|Poss=Yes
appart,NOUN,obj,SEN:1,Gender=Masc|Number=Sing
,,PUNCT,punct,SEN:1,
ce,PRON,det,SEN:1,Number=Sing|Person=3
sera,AUX,cop,SEN:1,Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin
ac,ADP,case,SEN:1,
grand,ADJ,amod,SEN:1,Gender=Masc|Number=Sing
plaisir,NOUN,ROOT,SEN:1,Gender=Masc|Number=Sing
!,PUNCT,punct,SEN:1,

cmr-88milsms-a424-2
Enfin,ADV,advmod,SEN:2,
le,DET,det,SEN:2,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
week,NOUN,fixed,SEN:2,Gender=Masc|Number=Sing
prochain,ADJ,amod,SEN:2,Gender=Masc|Number=Sing
je,PRON,nsubj,SEN:2,Number=Sing|Person=1
rentre,VERB,ROOT,SEN:2,Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin
sr,X,case,SEN:2,Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part
Tlse,X,obl:arg,SEN:2,Gender=Masc|Number=Sing
,,PUNCT,punct,SEN:2,
ms,CCONJ,advmod,SEN:2,
sinon,CCONJ,fixed,SEN:2,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
ceux,PRON,fixed,SEN:2,Gender=Masc|Number=Plur|PronType=Dem
qui,PRON,nsubj,SEN:2,PronType=Rel
suivent,VERB,acl:relcl,SEN:2,Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin
ss,DET,det,SEN:2,Gender=Masc|Number=Sing
problème,NOUN,obj,SEN:2,Gender=Masc|Number=Sing
!,PUNCT,punct,SEN:2,

cmr-88milsms-a424-3
du,ADP,case,SEN:3,Definite=Def|Gender=Masc|Number=Sing|PronType=Art
coup,NOUN,ROOT,SEN:3,Gender=Masc|Number=Sing
on,PRON,nsubj,SEN:3,Number=Sing|Person=3
se,PRON,expl:comp,SEN:3,Person=3|Reflex=Yes
voit,VERB,ROOT,SEN:3,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin
la,DET,det,SEN:3,Definite=Def|Gender=Fem|Number=Sing|PronType=Art
semaine,NOUN,obj,SEN:3,Gender=Fem|Number=Sing
prochaine,ADJ,amod,SEN:3,Gender=Fem|Number=Sing
!,PUNCT,punct,SEN:3,
